id|name|tier|icon|description
colossus|强体|1|💪|生命值上限提高 25%。
nine_lives|命不该绝|1|🐈|每次战斗中第一次受到致命伤时，生命值保留 1 点并移除所有流血中毒效果。
recover|调息|1|😤|解锁技能“调息”：花费9AP，清除当前积累疲劳值的 50%。
adrenaline|血勇|1|💉|解锁技能“血勇”：花费1AP，下回合行动顺序提前至最先。
pathfinder|识途|1|🧭|所有地形的移动AP消耗减少 1 点（最低为2），疲劳消耗减半。
fast_adaptation|临机应变|1|🎯|每次攻击未命中，下一次攻击命中率叠加 +10%，命中后重置。
crippling_strikes|致残击|1|🦴|造成伤害引发“重伤”的门槛降低 33%。
student|学徒|1|📖|获得经验值增加 20%。达到 Lv11 时返还此技能点。
dodge|身法|2|🍃|获得相当于当前“先手”值 15% 的近战和远程防御加成。
fortified_mind|定胆|2|🧠|“胆识”提高 25%。
steel_brow|铁额|2|🤕|头部受到攻击不再遭受暴击伤害。
executioner|补刀手|2|💀|对受到“重伤”影响的敌人，伤害增加 20%。
backstabber|合围|3|🔪|包围加成的命中率翻倍。
anticipation|预判|3|👀|根据远程防御值的 10% 额外增加被远程攻击时的防御。
shield_expert|盾法精通|3|🛡️|盾牌防御加成 +25%。盾牌受到破盾技能的伤害减少。
brawny|负重者|3|🏋️|身甲和头盔造成的最大体力惩罚减少 30%。
relentless|不息|3|🏃|当前疲劳值对“先手”属性的惩罚减半。
rotation|换位|3|🔄|解锁技能“换位”：与相邻盟友交换位置。
rally|振军|3|📢|解锁技能“振军”：提高范围内盟友的士气。
taunt|挑衅|3|🤬|解锁技能“挑衅”：迫使敌人优先攻击自己。
sword_mastery|剑术精通|4|🗡️|剑类技能疲劳消耗 -25%。反击不再受命中惩罚。
spear_mastery|枪术精通|4|🔱|枪矛技能疲劳消耗 -25%。矛墙命中后不再自动解除。
polearm_mastery|长兵精通|4|🍢|长柄武器技能疲劳消耗 -25%。攻击AP消耗减至 5 点。
axe_mastery|斧钺精通|4|🪓|斧类技能疲劳消耗 -25%。增加对盾牌的破坏力。
hammer_mastery|重锤精通|4|🔨|锤类技能疲劳消耗 -25%。对护甲造成的伤害增加 33%。
flail_mastery|连枷精通|4|⛓️|连枷技能疲劳消耗 -25%。无视盾牌防御加成。
cleaver_mastery|斩刀精通|4|🍖|砍刀技能疲劳消耗 -25%。流血伤害翻倍。
dagger_mastery|匕首精通|4|🗡️|匕首技能疲劳消耗 -25%。普通攻击只需 3 AP。
bow_mastery|弓术精通|4|🏹|弓类技能疲劳消耗 -25%。射程 +1。
crossbow_mastery|弩术精通|4|🔫|弩类技能疲劳消耗 -25%。穿甲伤害 +20%。
throwing_mastery|投掷精通|4|🪃|投掷技能疲劳消耗 -25%。距离越近伤害越高。
lone_wolf|独胆|5|🐺|若周围 3 格内无盟友，全属性 +15%。
underdog|破围|5|🛡️|敌人对自己进行包围攻击时，不再获得包围加成。
footwork|脱身|5|💨|解锁技能“脱身”：无视敌人控制区移动一格。
overwhelm|压制|5|🌩️|每次攻击命中或被格挡，令目标下回合全攻击力 -10%。
reach_advantage|兵势|5|📏|每次双手武器攻击命中，近战防御 +5。
nimble|轻甲流|6|🤸|受到的生命值伤害降低，越轻越硬，最高减伤 60%。
battle_forged|重甲流|6|🏰|受到的护甲伤害降低，降低幅度为当前总护甲值的 5%。
berserk|狂战|6|😡|每回合第一次击杀敌人，立即回复 4 AP。
head_hunter|索首|6|🤯|每次攻击命中身体，下次攻击必定命中头部。
killing_frenzy|杀意|7|🩸|击杀敌人后，所有攻击伤害增加 25%，持续 2 回合。
duelist|独胆宗师|7|🤺|当副手空缺时，单手武器攻击无视额外 25% 的护甲。
fearsome|威压|7|👻|任何造成至少 1 点伤害的攻击都会触发敌人的士气检定。
indomitable|不屈|7|🗿|解锁技能“不屈”：受到伤害减半，持续1回合。