biome|questType|target|title1|title2|title3|description
NORTHERN_TUNDRA|HUNT|北疆狼群|驱逐狼群|猎杀狼王|荡平狼穴|{npc}面色焦虑地说道：「近日{place}一带有一群{target}频繁出没。你们若能去处理此事报酬绝不会少。」
NORTHERN_TUNDRA|HUNT|雪狼|驱逐狼群|猎杀狼王|荡平狼穴|{npc}压低声音道：「{place}那边的{target}越来越猖獗。谁能替我除了这祸害我出双倍赏金。」
NORTHERN_TUNDRA|HUNT|冻土野狼|驱逐狼群|猎杀狼王|荡平狼穴|酒肆角落{npc}拍着桌子道：「我的羊群又被{target}叼走了十几只。{place}都快成狼窝了。」
NORTHERN_TUNDRA|HUNT|白毛狼王|驱逐狼群|猎杀狼王|荡平狼穴|告示上写道：「{place}近来{target}为患袭击边民牲畜。凡能清剿此害者赏黄金若干。」
NORTHERN_TUNDRA|HUNT|冰原巨狼|驱逐狼群|猎杀狼王|荡平狼穴|{npc}神色凝重：「{place}那边出现了{target}。再拖下去边民就没法过日子了。」
NORTHERN_TUNDRA|HUNT|北疆匪帮|缉拿逃兵|清剿北疆匪帮|扫灭马贼头子|{npc}叹了口气：「一群{target}在{place}附近烧杀抢掠。能帮帮忙吗。」
NORTHERN_TUNDRA|HUNT|马贼|缉拿逃兵|清剿北疆匪帮|扫灭马贼头子|{npc}搓着手道：「听说{place}来了一股{target}。边关驻军人手不够。」
NORTHERN_TUNDRA|HUNT|北狄游骑|驱逐胡骑|截杀斥候|歼灭游骑精锐|烽火台急报：「{place}方向发现{target}活动迹象。请速派人前往歼灭。」
NORTHERN_TUNDRA|PATROL||边境巡逻|边境巡逻|边境巡逻|{npc}递来一卷边报：「{place}一带近来不太平。需要一队人沿边墙巡查一趟。」
NORTHERN_TUNDRA|PATROL||边境巡逻|边境巡逻|边境巡逻|{npc}说道：「{place}的哨塔三天前就没了回信。去查看一下情况。」
NORTHERN_TUNDRA|ESCORT||护送辎重|护送辎重|护送辎重|{npc}指着几辆大车：「这批皮裘和药材要送到{place}。路上还有马贼出没。」
NORTHERN_TUNDRA|ESCORT||护送辎重|护送辎重|护送辎重|{npc}搓着冻红的手：「这批粮草必须送到{place}。路上可能碰上狼群或者逃兵。」
CENTRAL_PLAINS|HUNT|流寇|剿灭流寇|清缴山寨|讨伐悍匪头目|{npc}一拍桌案：「{place}那帮{target}简直无法无天。谁能把他们连窝端了我重赏。」
CENTRAL_PLAINS|HUNT|山贼|剿灭流寇|清缴山寨|讨伐悍匪头目|{npc}苦笑道：「官道上那伙{target}已经猖狂到白日拦路。{place}附近商贾苦不堪言。」
CENTRAL_PLAINS|HUNT|响马|剿灭流寇|清缴山寨|讨伐悍匪头目|{npc}叹道：「自从那伙{target}盘踞在{place}周围十里没人敢走夜路。」
CENTRAL_PLAINS|HUNT|叛军残部|追缉逃犯|围剿叛军残部|讨伐叛将|{npc}取出通缉文书：「{place}附近发现了一伙{target}。此事关乎朝廷颜面。」
CENTRAL_PLAINS|HUNT|黄巾余党|追缉逃犯|围剿叛军残部|讨伐叛将|{npc}拍了拍桌上的文书：「{place}那帮{target}又闹事了。朝廷催得紧。」
CENTRAL_PLAINS|HUNT|邪教徒|清查邪教|捣毁邪祠|铲除邪教首领|{npc}愁眉不展：「{place}那边出了一帮{target}蛊惑百姓。再不管怕是要出乱子。」
CENTRAL_PLAINS|HUNT|异端教众|清查邪教|捣毁邪祠|铲除邪教首领|酒肆中有人低声议论：「听说{place}那边的{target}又在闹了。」
CENTRAL_PLAINS|PATROL||官道巡检|官道巡检|官道巡检|{npc}展开地图：「最近{place}一带盗匪活动频繁。需要沿主干道巡逻一趟。」
CENTRAL_PLAINS|PATROL||官道巡检|官道巡检|官道巡检|{npc}正色道：「{place}的驿站连续两天没收到邸报。去巡查沿途情况。」
CENTRAL_PLAINS|ESCORT||护送商队|护送商队|护送商队|{npc}愁眉不展：「我有一批盐铁要运往{place}。最近路上不太平。」
CENTRAL_PLAINS|ESCORT||护送商队|护送商队|护送商队|{npc}说道：「朝廷有批军粮要送到{place}。这年头匪贼可不认公文。」
CENTRAL_PLAINS|DELIVERY||送信传令|送信传令|送信传令|{npc}递来一封密信：「这封急报必须在五日内送到{place}。沿途可能有人截杀信使。」
CENTRAL_PLAINS|DELIVERY||送信传令|送信传令|送信传令|{npc}从袖中取出竹简：「这份军令要送到{place}守将手中。时间紧迫。」
SOUTHERN_WETLANDS|HUNT|沼泽蛮人|清剿蛮族|击破蛮寨|斩杀蛮王|{npc}面带忧色：「{place}深处那些{target}越来越大胆。再不出兵镇子就要被洗劫。」
SOUTHERN_WETLANDS|HUNT|越人战士|清剿蛮族|击破蛮寨|斩杀蛮王|{npc}低声说：「那些{target}在{place}盘踞多年。你们去把头领杀了报酬翻倍。」
SOUTHERN_WETLANDS|HUNT|百越蛮兵|清剿蛮族|击破蛮寨|斩杀蛮王|告示板上布告：「{place}之{target}频繁犯境。现悬赏勇士深入密林讨伐。」
SOUTHERN_WETLANDS|HUNT|水贼|清剿水贼|攻破水寨|歼灭江匪头目|{npc}无奈道：「{place}那帮{target}把水路都封了。若能端了水寨沿河百姓都念你们好。」
SOUTHERN_WETLANDS|HUNT|江匪|清剿水贼|攻破水寨|歼灭江匪头目|{npc}一拍大腿：「{place}的{target}昨晚又劫了一条粮船。这帮贼人不除日子没法过。」
SOUTHERN_WETLANDS|PATROL||密林侦察|密林侦察|密林侦察|{npc}指着地图：「{place}附近发现了可疑烟火和脚印。需要人深入林中探查。」
SOUTHERN_WETLANDS|PATROL||密林侦察|密林侦察|密林侦察|{npc}蹙眉道：「{place}那片林子最近常有怪声。去看看到底怎么回事。」
SOUTHERN_WETLANDS|ESCORT||护送药商|护送药商|护送药商|{npc}擦着额头的汗：「我要去{place}收药材。上次去的伙计到现在都没回来。」
SOUTHERN_WETLANDS|ESCORT||护送药商|护送药商|护送药商|{npc}拱手道：「有一位大夫要去{place}义诊但路途凶险。朝廷特拨银两雇人护送。」
SOUTHERN_WETLANDS|DELIVERY||传递军情|传递军情|传递军情|{npc}取出密封竹筒：「这是前方军情急报必须送到{place}守将手中。」
SOUTHERN_WETLANDS|DELIVERY||传递军情|传递军情|传递军情|{npc}低声道：「{place}那边出了急事需要尽快把这封信送到。林子里不太平。」
FAR_SOUTH_DESERT|HUNT|胡人劫掠者|驱逐沙匪|击退胡骑|斩杀沙盗首领|{npc}抹了把汗：「{place}那帮{target}又来了。每次商队经过都要被劫。」
FAR_SOUTH_DESERT|HUNT|沙匪|驱逐沙匪|击退胡骑|斩杀沙盗首领|{npc}咬牙切齿：「那群{target}把{place}当成了自家地盘。这是生死之仇。」
FAR_SOUTH_DESERT|HUNT|戎狄骑兵|驱逐沙匪|击退胡骑|斩杀沙盗首领|风沙中旗幡上刻着悬赏令：「{place}一带{target}肆虐。凡能诛灭者重赏。」
FAR_SOUTH_DESERT|HUNT|荒漠游匪|清除路匪|扫荡沙贼|端掉匪巢|{npc}指着地图：「{place}那条路近来常有{target}出没专挑落单旅人下手。」
FAR_SOUTH_DESERT|HUNT|沙丘伏击者|清除路匪|扫荡沙贼|端掉匪巢|集市口旅人哭诉：「{place}有一帮{target}把我最后一文钱都抢走了。」
FAR_SOUTH_DESERT|PATROL||商路护卫|商路护卫|商路护卫|{npc}指着远方沙丘：「{place}那段商路已好几天没有驼队安全通过。去巡视一番。」
FAR_SOUTH_DESERT|PATROL||商路护卫|商路护卫|商路护卫|{npc}展开粗糙地图：「{place}周围需要定期巡逻确保商路畅通。这次多留个心眼。」
FAR_SOUTH_DESERT|ESCORT||护送驼队|护送驼队|护送驼队|{npc}一脸恳切：「我有一支驼队要穿过{place}到对面绿洲。路上沙匪出没。」
FAR_SOUTH_DESERT|ESCORT||护送驼队|护送驼队|护送驼队|{npc}递来一袋水囊：「这支驼队载着丝绸和香料。经过{place}时最危险。」
FAR_SOUTH_DESERT|DELIVERY||紧急传信|紧急传信|紧急传信|{npc}递来密封皮袋：「这封信要送到{place}守将手中十万火急。沙暴季节路不好走。」
FAR_SOUTH_DESERT|DELIVERY||紧急传信|紧急传信|紧急传信|{npc}低声道：「{place}那边的水源出了问题需要尽快把消息送到长老手中。」
