id|name|value|weight|durability|dmgMin|dmgMax|armorPen|armorDmg|fatigueCost|range|hitChanceMod|description
w_sword_1|锈蚀铁剑|120|6|40|20|35|0.1|0.7|8|1|5|一把缺口的铁剑，胜在轻便。
w_sword_2|青铜长剑|350|8|60|35|45|0.2|0.8|10|1|5|战国时期标准的制式武器，平衡性极佳。
w_sword_3|八面汉剑|1200|9|90|45|55|0.25|0.9|12|1|10|精钢锻造，剑身修长，能轻易刺穿轻甲。
w_axe_1|伐木斧|80|12|50|30|50|0.3|1.2|14|1|0|原本用来伐木，但劈开脑袋也同样好用。
w_axe_2|宣花大斧|450|16|70|45|70|0.4|1.5|18|1|0|沉重的战斧，能轻易粉碎盾牌和铠甲。
w_spear_1|竹枪|40|5|20|20|30|0.1|0.5|10|1|20|削尖的竹子，聊胜于无。
w_spear_2|青铜矛|300|10|60|30|40|0.2|0.8|14|1|20|百兵之王，极高的命中率使其成为新兵首选。
w_pole_1|青铜戈|400|14|50|40|60|0.3|1.1|18|2|5|勾啄结合，适合攻击阵列后方的敌人。
w_pole_2|精铁长戟|900|18|80|55|80|0.35|1.3|20|2|10|结合了矛与戈的优点，威力巨大。
w_mace_1|包铁木棒|150|12|50|25|45|0.4|1.4|14|1|0|简单粗暴，对付重甲单位有奇效。
w_mace_2|青铜殳|500|15|90|35|55|0.5|1.8|16|1|0|沉重的钝器，哪怕没有击穿护甲也能震碎骨骼。
w_bow_1|猎弓|200|6|40|25|40|0.1|0.4|12|6|-5|普通的木弓。
w_xbow_1|秦弩|600|15|50|40|70|0.6|0.8|20|6|10|秦军制式重弩，破甲能力极强，但装填缓慢。